trials,acc,nmi,ari
mnist,,,
0,0.97169,0.92599,0.93851
1,0.97111,0.92485,0.93731
2,0.97176,0.92624,0.93866
3,0.97111,0.92471,0.93711
4,0.97211,0.92684,0.93928
5,0.97181,0.92632,0.93877
6,0.9714,0.92545,0.93791
7,0.9716,0.92581,0.93834
8,0.97207,0.92681,0.93933
9,0.97207,0.9267,0.93933
 ,0.971673,0.925972,0.938455
reuters,,,
0,0.78458,0.63528,0.69388
1,0.78464,0.63534,0.69456
2,0.78461,0.6353,0.69436
3,0.78461,0.63551,0.69431
4,0.78462,0.63541,0.69432
5,0.78475,0.63711,0.6965
6,0.78459,0.63532,0.69427
7,0.78456,0.63464,0.69344
8,0.78475,0.63709,0.69641
9,0.78464,0.63549,0.69443
 ,0.784635,0.635649,0.694648
reuters10k,,,
0,0.8434,0.61117,0.68756
1,0.8494,0.61372,0.69626
2,0.8359,0.59323,0.66702
3,0.8317,0.60286,0.66798
4,0.8454,0.61869,0.69158
5,0.8307,0.58477,0.65235
6,0.8389,0.61445,0.68392
7,0.8307,0.58306,0.6627
8,0.8438,0.6163,0.68832
9,0.8347,0.59515,0.66618
 ,0.83846,0.60334,0.676387
stl,,,
0,0.935,0.86399,0.86133
1,0.93446,0.86366,0.86023
2,0.93523,0.86498,0.86187
3,0.93623,0.86512,0.86387
4,0.93423,0.86272,0.86013
5,0.93462,0.8627,0.86056
6,0.93577,0.86399,0.86188
7,0.93654,0.86708,0.8648
8,0.936,0.86631,0.86428
9,0.93492,0.86434,0.86042
 ,0.9353,0.864489,0.861937
har,,,
0,0.8895,0.83844,0.78834
1,0.89271,0.84313,0.79328
2,0.89096,0.84013,0.78984
3,0.88795,0.82998,0.78235
4,0.88727,0.83283,0.7818
5,0.89378,0.84237,0.79384
6,0.89388,0.84203,0.79307
7,0.89242,0.83949,0.79157
8,0.8962,0.84337,0.79674
9,0.89698,0.84923,0.79784
 ,0.892165,0.8401,0.790867
